directory_category,directory_contact__email,directory_contact__fax,directory_contact__mobile,directory_contact__phone,directory_contact__website,content_body,directory_location__street,directory_location__city,directory_location__country,directory_location__address,directory_location__lat,directory_location__lng,directory_location__zip,directory_location__state,content_post_title,directory_social__facebook,content_post_status,field_contact_name
community-garden,,,,,https://www.facebook.com/Sharpsburg-Community-Garden-2009494322522469/,We provide a gathering place for the neighbors to grow food for ourselves and donate to the community. We provide a sustainable food source to our neighbors through teaching about growing and good food.  Our harvest is shared with the community through the Library donation basket.,1212 Main Street,Pittsburgh,US,"1212 Main Street, Sharpsburg, PA, USA",40.494451,-79.930216,15215,Pennsylvania,Sharpsburg Community Garden,,published,
community-garden,,,,,,"Grow Pittsburgh joined several organizations and community groups working to bring fresh produce and unity to Northview Heights via a community garden. This garden hosts in-ground beds and raised accessible beds, as well as a delightful play space for Northview Heights’ younger residents. Fallen Stars of Northview Heights is open to all residents and hopes that the diversity of the produce grown reflects the rich diversity of garden volunteers and community members.",168 Penfort Street,Pittsburgh,US,"340 Penfort St, Pittsburgh, PA 15214, USA",40.47608,-80.000025,15214,Pennsylvania,Fallen Stars of Northview Heights Community Garden Northview Heights,,published,
community-farm,,,,,,"In 2010, Grow Pittsburgh assisted residents at the Meyer’s Ridge Community Builders development to establish a community garden. The garden came together with the help of many volunteers: teens from around the country and community members spread soil and built a deer fence, and a local church constructed a shed to store the garden’s tools. Producegrown at the garden is shared by garden volunteers and distributed to the community at large through the Greater Pittsburgh Community Food Bank.",901 Gray Street,McKees Rocks,US,"901 Gray Street, McKees Rocks, PA, USA",40.469338,-80.06541,15136,Pennsylvania,Meyer's Ridge Community Garden,,published,
community-garden,,,,,,"The Natrona Grows Community Garden sits between two steel mills, one that is being phased out of production and one that is currently being rehauled for expanded production. A hedgerow borders the garden on two sides, creating a soft enclosure while keeping dust and noise down. The garden currently holds more than 14 raised beds, tended to by individuals and families.Feder",46 Federal Street,Natrona Heights,US,"Federal St, Natrona Heights, Harrison Township, PA, USA",40.615675,-79.721049,15065,Pennsylvania,Natrona Grows Community Garden,,published,
community-farm,tchomeplate@gmail.com,,,,,(hold for description),115 Hamilton Avenue,Turtle Creek,US,"Hamilton Avenue, Turtle Creek, PA, USA",40.412612,-79.820006,15145,Pennsylvania,Turtle Creek Homeplate Community Garden,,published,
community-farm;community-garden,,,,,,"Riverview Manor is senior apartments in Brighton Heights, PA that is owned and operated by National Church Residences, boasts a garden that has been in use since the 1970s. After falling into disuse, City Growers helped the residents and neighbors reinvigorate the garden by building eight wheelchair accessible raised beds above a gravel patio and by rebuilding the in-ground growing area. Excess produce is donated to residents of Riverview Manor.",1500 Letort Street,Pittsburgh,US,"1500 Letort Street, Pittsburgh, PA 15212",40.48,-80.03735,15212,Pennsylvania,Riverview Community Garden of Brighton Heights,,published,
community-garden,communitygardens@pittsburghpa.gov,,,412-255-8850,https://www.facebook.com/mtwashingtongarden/,"A community garden in Mt. Washington, Pittsburgh, PA whose mission is to educate residents and foster the growth of positive neighborhood relationships.  Located at the Ream Recreational Center, this garden has both allotment raised beds and in-ground community beds.",321 Merrimac Street,Pittsburgh,US,"321 Merrimac Street, Pittsburgh, PA, USA",40.43097,-80.01323,15211,Pennsylvania,Mount Washington Community Garden at Ream Park,,published,"City of Pittsburgh, Department of Public Works"
community-farm,,,,412-583-7136,http://mtvcommunity.com/,"A community garden created, managed and for the benefit of residents of Mountain View Apartments and Crafton Heights Townhomes. Come grow with us!",1592 Crucible Street,Pittsburgh,US,"1592 Crucible Street, Pittsburgh, PA, USA",40.445623,-80.051358,15205,Pennsylvania,Mountain View Community Garden,,published,Brian
community-garden,duquesnecommunityvictorygarden@gmail.com,,412-714-6670,412-714-6670,http://facebook.com/duquesnecommunityvictorygarden,"Duquesne Community Victory Garden (DCVG) was established in 2018 with the help of a few local gardening advocates and Grow Pittsburgh.  DCVG offers garden plots for rent for personal use, while also offering plots that are maintained by volunteers that help feed the community.",719 Duquesne Boulevard,Duquesne,US,"719 Duquesne Blvd, Duquesne, PA, USA",40.381652,-79.856757,15110,Pennsylvania,Duquesne Community Victory Garden,,published,Scott Fisher
commercial-urban-farm;community-farm;grow-pittsburgh-site,,,,412-362-4769,http://www.growpittsburgh.org,"",1000 Braddock Avenue,Braddock,US,"1000 Braddock Avenue, Braddock, PA, USA",40.399024,-79.863161,15104,Pennsylvania,Braddock Farm,,published,
other,darrell@lunited.org,412.782.2672,412.897.9880,412.802.7220,http://www.lunited.org,"Lawrenceville United (LU) has been engaged in a multi-year effort to revitalize Duncan Park, a City of Pittsburgh park decommissioned in May of 2014, and transform it into a community orchard, garden, and play space. Over the many years of work at this site, a dedicated group of volunteers have planted over one dozen fruiting trees which will grow by the year.  Over a series of community meetings the concept further developed to make Duncan Park a community orchard, featuring gardens and native fruiting trees, and to include natural play elements which work with the existing features on the site, and ensure that the park will continue to be a gathering place for families and children as well.",5314 Duncan Street,Pittsburgh,US,"Duncan Parklet, Pittsburgh, PA, USA",40.480313,-79.948474,15201,Pennsylvania,Duncan Park,,published,darrell kinsel
community-garden,gardens.troyhillpittsburgh@gmail.com,,,,http://troyhillpittsburgh.com/community-gardens/,,1905 Lookout Street,Pittsburgh,US,"1905 Lookout Street, Pittsburgh, PA, USA",40.468962,-79.977067,15212,Pennsylvania,Troy Hill Citizens - Lookout St. Community Garden,,published,Patrick Duffey
community-garden,gardens.troyhillpittsburgh@gmail.com,,,,http://troyhillpittsburgh.com/community-gardens/,,1819 Elbow Street,Pittsburgh,US,"1819 Elbow Street, Pittsburgh, PA, USA",40.464737,-79.980626,15212,Pennsylvania,Troy Hill Citizens - Elbow St. Community Garden,,published,"Troy Hill Citizens, Inc."
school-garden,,,,,,,328 Lincoln Avenue,Pittsburgh,US,"328 Lincoln Ave, Pittsburgh, PA 15206, USA",40.460174,-79.911921,15206,Pennsylvania,PGH Lincoln K-5 Learning Garden,,published,
community-garden,,,,,,,242 51st Street,Pittsburgh,US,"242 51st Street, Pittsburgh, PA, USA",40.47864,-79.956582,15201,Pennsylvania,Spirit Community Garden,,published,
community-garden,jay.poliziani@ncmin.org,,,412-323-1163,,,1601 Brighton Road,Pittsburgh,US,"1601 Brighton Road, Pittsburgh, PA, USA",40.458071,-80.016331,15212,Pennsylvania,Northside Good Food to the Neighborhood Garden,,published,Jay Poliziani
community-farm;school-garden,plant2plate@gmail.com,,,,,,246 Oakland Avenue,Pittsburgh,US,"248 Oakland Ave, Pittsburgh, PA, USA",40.440373,-79.955804,15213,Pennsylvania,Oakland Garden,,published,
community-garden,mobajcz@gmail.com,,,,,Individual Plots are 20'x20' for $30 annually for the growing season.  Tool shed tools available for gardener use.   Communal rain barrel water supply.,,Pittsburgh,US,"4205 Stanton Ave, Pittsburgh, PA 15201, USA",40.47822,-79.944911,15224,Pennsylvania,Stanton Heights Community Garden @ Allegheny Cemetery,,published,Mo Bajcz
other,papayngling@gmail.com,,,,,sustainable urban-farm project. Vegetables and duck eggs. Contact for info or food. Find us on Instagram under the hashtag #CoryCAB.,1526 Vance Avenue,Coraopolis,US,"1526 Vance Ave, Coraopolis, PA, USA",40.511612,-80.157098,15108,Pennsylvania,People's Garden of Coraopolis (Cory CAB),,published,Amanda
community-farm,templeemanuel@templeemanuelpgh.org,,,(412) 279-7600,http://www.templeemanuelpgh.org/,,1250 Bower Hill Road,Pittsburgh,US,"1250 Bower Hill Rd, Pittsburgh, PA 15243, USA",40.376254,-80.074621,15243,Pennsylvania,Temple Emanuel SHIM Garden,,published,
community-farm,lelandscales@aol.com,,,13308811733,http://www.swissvalegarden.com,,7301 Denniston Avenue,Pittsburgh,US,"7301 Denniston Ave, Pittsburgh, PA 15218, USA",40.417298,-79.890549,15218,Pennsylvania,Swissvale Community Garden,,published,Leland Scales
community-garden,communitygardens@pittsburghpa.gov,,,412-255-8850,,"Located at the site of the old ball field off Mission Street in Pittsburgh's South Side, Bandi Schaum Community Garden has been thriving since 2012. With around 87 plots in a fenced area, Bandi Schaum is truly an oasis right in the middle of the city. We are a community of friendly gardeners who enjoy spending time both gardening and socializing at the garden.",84 Barry Street,Pittsburgh,US,"84 Barry Street, Pittsburgh, Pennsylvania 15203, USA",40.422634,-79.970575,15203,Pennsylvania,Bandi Schaum Community Garden,,published,"City of Pittsburgh, Department of Public Works"
community-farm,andyhays222@gmail.com,,724-350-6671,724-350-6671,,3200 square foot garden established by the St. Louise de Marillac Catholic Men's Fellowship Group to support the pantry's of South Hills Interfaith Movement (SHIM),320 McMurray Road,Upper Saint Clair,US,"320 McMurray Road, Upper Saint Clair, PA, USA, 15241",40.315844,-80.071719,15241,Pennsylvania,St. Louise CMF SHIM Garden,,published,Andrew Hays
community-garden,,,,,,,1245 Liverpool Street,Pittsburgh,US,"1243 Liverpool Street, Pittsburgh, PA, USA",40.455143,-80.024551,15233,Pennsylvania,1 Sound Farm,,published,
community-farm;community-garden,info@plcpgh.org,412 533 2694,412 758 3909,412 533 3837,http://plcpgh.org/,"The Peace And Friendship Farm is an agricultural site for commercial urban farming for veterans and community gardening and farming for residents in the Hill District neighborhood. All activities, including conservation, are led by veterans.",678 Somers Street,Pittsburgh,US,"678 Somers Street, Pittsburgh, PA 15219",40.448372,-79.974881,15219,Pennsylvania,Peace and Friendship Farm,,published,Project Love Coalition
commercial-urban-farm,blackfarmerscoop@gmail.com,,,412-377-9926,http://bugfpc.com,"",7012 Monticello Street,Pittsburgh,US,"7014 Monticello Street, Pittsburgh, PA, USA",40.460031,-79.899781,15208,Pennsylvania,The Homewood Historical Farm,,published,Raqueeb Bey
other,rbarry@colliertwp.net,,,7246930780,http://www.colliertownship.net,Garden for the Collier Township Summer Camp and Kids Club. Managed by the Collier Township Parks and Recreation Department.,1029 Nike Site Road,Oakdale,US,"5 Pvt Lobaugh Drive, Oakdale, PA, USA",40.397379,-80.161188,15071,Pennsylvania,Collier Kids Garden,,published,Rochelle Barry
community-farm,,,,4124221850,http://shlclubhouse.org/,"The Sally and Howard Levin Clubhouse, a program of Jewish Residential Services,  is a licensed psychiatric and social rehabilitation program of Jewish Residential Services. The Clubhouse provides a warm, welcoming community where adults whose lives have been disrupted by mental illness come together to discover and develop their strengths and abilities, build self-confidence, and gain valuable social and vocational skills that prepare them for more productive, rewarding, meaningful lives. As a part of the work ordered day, Clubhouse colleagues contribute to the Food &amp; Horticulture Area which aims to nourish our Clubhouse community with healthy food as an important component of our overall wellness. We provide members with opportunities to feed each other through harvesting our garden, preparing meals, and gathering together to enjoy the fruits of our labor. The Sally and Howard Levin Clubhouse Garden is made possible through a supportive partnership with community Day School where the garden is located.",2625 Beechwood Boulevard,Pittsburgh,US,"2724 Beechwood Boulevard, Pittsburgh, PA, USA",40.427036,-79.916458,15217,Pennsylvania,Sally & Howard Levin Clubhouse Garden,,published,Hayly Hoch
school-garden,,,,4125292305,,,7500 Tioga Street,Pittsburgh,US,"7500 Tioga Street, Pittsburgh, PA, USA",40.452357,-79.892925,15208,Pennsylvania,Faison School Garden,,published,Jerone Morris
community-farm,joanne.letcher@carnegiepa.net,,4125199267,4122795456,http://visitcarnegie.com,"",7 West Main Street,Carnegie,US,"7 West Main Street, Carnegie, PA, USA",40.406337,-80.088384,15106,Pennsylvania,Carnegie Community Development Corporation Community Garden,,published,Joanne Letcher
community-farm,civicarts211@gmail.com,,4128670992,14128670992,https://civicarts211.wixsite.com/website-1,"Center for Civic Arts is developing an abandoned Church and side lot as a Community Center focused on local needs regarding education, jobs, food access and arts and culture.  The George Floyd Community Garden grows vegetables that will be preserved and distributed,  proceeds to support paid garden and cooking apprenticeships. Two apprentice positions were supported by the Wilkinsburg Sanctuary Project. Produce in 2020 includes tomatoes, cucumbers, basil.",744 South Avenue,Pittsburgh,US,"710 Mulberry Street, Pittsburgh, PA, USA",40.441219,-79.884064,15221,Pennsylvania,George Floyd Community Garden,,published,Jody Guy
community-garden,allendalegardens@gmail.com,,5182698388,5182698388,http://pittsburghurbangardens.com/allendale-acres-community-garden,Allendale Acres provides a space for community members to grow fresh organic produce and to cultivate relationships with their fellow neighbors. We offer individual raised beds for anyone that is interested in gardening in their own space for a small rental fee.,,Pittsburgh,US,"Allendale St at Fairdale St, Pittsburgh, PA 15204, USA",40.455471,-80.060751,15204,Pennsylvania,Allendale Acres Community Garden,,published,Sean Chisholm
,wpcommunityfarm@gmail.com,,,(412) 450-0765,http://Instagram @westpenncommunityfarm,"We are a volunteer-run community farm located in Polish Hill.  All produce is distributed by the Jubilee food pantry, or offered on site to those who need it. We are committed to working towards social justice, and food sovereignty for all communities. Come and visit!",,Pittsburgh,US,"2998 Brereton Street, Pittsburgh, PA, USA",40.456539,-79.97014,15219,Pennsylvania,West Penn Community Farm,,published,Dalia Shevin
school-garden,,,4127790868,412-529-3940,,,1101 North Murtland Street,Pittsburgh,US,"1101 North Murtland Street, Pittsburgh, PA, USA",40.461539,-79.901728,15208,Pennsylvania,Westinghouse Learning Garden,,published,
community-farm,mcchesney.farmstead@gmail.com,,412-477-1218,,,"We are a family farm, collaborating with other families to grow wholesome, organic food.",25 Lewin Lane,Pittsburgh,US,"25 Lewin Lane, Pittsburgh, PA, USA",40.43605,-79.844249,15235,Pennsylvania,McChesney Farm,,published,
other,,,,,,,1716 Cecil Street,Sharpsburg,US,"1714 Cecil Street, Sharpsburg, PA, USA",40.495883,-79.922703,15215,Pennsylvania,Yoder-Meraz Back Yard,,published,
community-garden,garden@ellwoodcityborough.com,,,724-758-7777,,"The Ellwood City Community Garden is a collaborative project between the Borough of Ellwood City, our local food bank, and many community volunteers and local businesses.  The garden is composed of raised beds, each planted, tended to, and harvested by a local family or organization.  The harvest is donated to the local food bank in an effort to increase access to fresh, nutrient-dense produce for community members in need.",327 Sims Street,Ellwood City,US,"327 Sims St, Ellwood City, PA 16117, USA",40.864081,-80.275161,16117,Pennsylvania,Ellwood City Community Garden,,published,Kelly Brack
school-garden,timothy.fabrizi@aiu3.net,412-469-0242,,412-469-2551,https://www.aiu3.net/site/Default.aspx?PageID=1079,,555 North Lewis Run Road,Jefferson Hills,US,"555 North Lewis Run Road, West Mifflin, PA, USA",40.32371,-79.938862,15025,Pennsylvania,Mon Valley School Garden,,published,"Timothy Fabrizi, Assistant Principal"
school-garden,cschott@steelvalleysd.org,,6467654095,412-464-3600,,"This garden is located in the Steel Valley School district and is conveniently reached by SV Middle and High school students plus students in the alternative program at Franklin Primary Center.  It is also close enough to Park Elementary that students from that school walk by grade levels to the garden once each in the spring and fall.  Students help with the planting and harvesting, and students in the Extended School Year program help with maintenance over the summer.  Students also get to taste samples of the harvest each fall in classrooms and during visits to the garden.",220 East Oliver Road,Munhall,US,"220 East Oliver Road, Homestead, PA, USA",40.389744,-79.898516,15120,Pennsylvania,Steel Valley Grows Garden,,published,Christine Schott
,Patrick.Panasko@PittsburghPA.gov,,412-951-2942,412-885-7445,https://pittsburghpa.gov/citiparks/index.html,"This is a garden at a recreation center mainly for teaching kids how to garden from the ages 5 to 16 years old. This garden is open to the public when the Recreation center is open during normal operating hours. I garden is lock and is safe from vandalism and theft, staff has to open the gate to let the participants in.",201 Parkfield Street,Pittsburgh,US,"201 Parkfield Street, Pittsburgh, PA, USA",40.391585,-79.991055,15210,Pennsylvania,Phillips Recreation Center,,published,Hakiem Mckenzie
community-farm,agaughan@smapgh.org,,412-956-9975,412-561-6021,,Sts Isidore and Maria Community Garden has been established to provide food for the Our Lady of Grace and St Winifred Food banks to help relieve food insecurity in our communities.  The newly formed St Michael parish community is growing a variety of vegetables and herbs to share and beds are also provided for people in the community who may not be able to grow where they live.,310 Kane Boulevard,Pittsburgh,US,"310 Kane Boulevard, Pittsburgh, PA, USA",40.373264,-80.085202,15243,Pennsylvania,Sts Isidore and Maria Community Garden,,published,Angela Gaughan
community-garden,garden@prettyupbeechview.org,,4122904979,,http://www.prettyupbeechview.org/beechview-community-garden/,,,,,,40.41429,-80.020218,15216,Pennsylvania,Beechview Community Garden,,published,Morgan Cunningham
